id,filename_deg,mix_filename,audio_path_resolved,duration_seconds,gt_start,gt_end,pred_start,pred_end,tiou,offset_err,start_offset_err,end_offset_err,start_abs_err,end_abs_err,gt_interval_source,pred_interval_source,mos,predicted_response
nisqa_temporal_00010,c05121_1_702_2_7_001-ch6-speaker_seg50.wav,0010_mix_c05121_1_702_2_7_001-ch6-speaker_seg50.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0010_mix_c05121_1_702_2_7_001-ch6-speaker_seg50.wav,9.0,0.281,1.558,5.61,7.01,0.0,5.3905,5.329000000000001,5.452,5.329000000000001,5.452,mix_deg_segments,token,2.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.01|>."
nisqa_temporal_00011,c01673_1_109_2_7_001-ch6-speaker_seg49.wav,0011_mix_c01673_1_109_2_7_001-ch6-speaker_seg49.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0011_mix_c01673_1_109_2_7_001-ch6-speaker_seg49.wav,10.0,6.23,7.275,7.01,8.71,0.10685483870967763,1.1075,0.7799999999999994,1.4350000000000005,0.7799999999999994,1.4350000000000005,mix_deg_segments,token,1.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.71|>."
nisqa_temporal_00012,c07304_2_686_2_7_001-ch6-speaker_seg47.wav,0012_mix_c07304_2_686_2_7_001-ch6-speaker_seg47.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0012_mix_c07304_2_686_2_7_001-ch6-speaker_seg47.wav,12.0,8.105,10.154,5.61,7.54,0.0,-2.5545,-2.495,-2.614,2.495,2.614,mix_deg_segments,token,2.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.54|>."
nisqa_temporal_00013,c08058_1_697_2_7_001-ch6-speaker_seg76.wav,0013_mix_c08058_1_697_2_7_001-ch6-speaker_seg76.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0013_mix_c08058_1_697_2_7_001-ch6-speaker_seg76.wav,7.0,1.986,3.668,0.27,1.99,0.0011771630370806367,-1.697,-1.716,-1.6780000000000002,1.716,1.6780000000000002,mix_deg_segments,token,2.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00014,c03709_4_1205_2_7_001-ch6-speaker_seg61.wav,0014_mix_c03709_4_1205_2_7_001-ch6-speaker_seg61.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0014_mix_c03709_4_1205_2_7_001-ch6-speaker_seg61.wav,10.0,2.93,4.262,5.61,7.01,0.0,2.7140000000000004,2.68,2.748,2.68,2.748,mix_deg_segments,token,2.4,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.01|>."
nisqa_temporal_00015,c04612_4_864_2_7_001-ch6-speaker_seg70.wav,0015_mix_c04612_4_864_2_7_001-ch6-speaker_seg70.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0015_mix_c04612_4_864_2_7_001-ch6-speaker_seg70.wav,10.0,3.135,6.64,5.61,7.54,0.23382519863791132,1.6875000000000004,2.4750000000000005,0.9000000000000004,2.4750000000000005,0.9000000000000004,mix_deg_segments,token,2.4,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.54|>."
nisqa_temporal_00016,c00164_book_06696_chp_0001_reader_03335_11_seg.wav,0016_mix_c00164_book_06696_chp_0001_reader_03335_11_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0016_mix_c00164_book_06696_chp_0001_reader_03335_11_seg.wav,6.0,4.087,5.11,0.27,1.99,0.0,-3.4684999999999997,-3.8169999999999997,-3.12,3.8169999999999997,3.12,mix_deg_segments,token,2.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00017,c01557_book_01857_chp_0006_reader_00415_34_seg.wav,0017_mix_c01557_book_01857_chp_0006_reader_00415_34_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0017_mix_c01557_book_01857_chp_0006_reader_00415_34_seg.wav,9.0,5.8,6.817,3.76,7.01,0.312923076923077,-0.9235000000000002,-2.04,0.19299999999999962,2.04,0.19299999999999962,mix_deg_segments,token,2.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|3.76|>."
nisqa_temporal_00018,c00233_book_01098_chp_0007_reader_10140_0_seg.wav,0018_mix_c00233_book_01098_chp_0007_reader_10140_0_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0018_mix_c00233_book_01098_chp_0007_reader_10140_0_seg.wav,12.0,8.811,10.627,7.01,8.99,0.049488526403096554,-1.7190000000000003,-1.8010000000000002,-1.6370000000000005,1.8010000000000002,1.6370000000000005,mix_deg_segments,token,1.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
nisqa_temporal_00019,c08969_tsp_2_FH_16.wav,0019_mix_c08969_tsp_2_FH_16.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0019_mix_c08969_tsp_2_FH_16.wav,7.133,4.502,5.524,0.25,1.43,0.0,-4.173,-4.252,-4.094,4.252,4.094,mix_deg_segments,token,1.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00020,c03461_book_11346_chp_0012_reader_08537_10_seg.wav,0020_mix_c03461_book_11346_chp_0012_reader_08537_10_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0020_mix_c03461_book_11346_chp_0012_reader_08537_10_seg.wav,7.0,0.207,1.597,0.27,1.99,0.7442512619181155,0.22800000000000004,0.06300000000000003,0.393,0.06300000000000003,0.393,mix_deg_segments,token,1.8,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00021,c07068_tsp_2_FC_19.wav,0021_mix_c07068_tsp_2_FC_19.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0021_mix_c07068_tsp_2_FC_19.wav,6.908,1.215,3.494,0.25,1.43,0.06627620221948208,-1.5145,-0.9650000000000001,-2.064,0.9650000000000001,2.064,mix_deg_segments,token,2.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00022,c01795_book_02353_chp_0003_reader_11301_21_seg.wav,0022_mix_c01795_book_02353_chp_0003_reader_11301_21_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0022_mix_c01795_book_02353_chp_0003_reader_11301_21_seg.wav,10.0,0.795,2.226,5.61,7.01,0.0,4.7995,4.815,4.784,4.815,4.784,mix_deg_segments,token,1.8,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.01|>."
nisqa_temporal_00023,c01848_book_02769_chp_0026_reader_00611_34_seg.wav,0023_mix_c01848_book_02769_chp_0026_reader_00611_34_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0023_mix_c01848_book_02769_chp_0026_reader_00611_34_seg.wav,6.0,4.367,5.971,0.27,1.99,0.0,-4.039,-4.0969999999999995,-3.981,4.0969999999999995,3.981,mix_deg_segments,token,3.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00024,c00827_4_1323_2_7_001-ch6-speaker_seg79.wav,0024_mix_c00827_4_1323_2_7_001-ch6-speaker_seg79.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0024_mix_c00827_4_1323_2_7_001-ch6-speaker_seg79.wav,12.0,6.394,9.838,5.61,7.01,0.14569536423841056,-1.8059999999999996,-0.7839999999999998,-2.8279999999999994,0.7839999999999998,2.8279999999999994,mix_deg_segments,token,1.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.01|>."
nisqa_temporal_00025,c03361_book_01218_chp_0001_reader_05527_8_seg.wav,0025_mix_c03361_book_01218_chp_0001_reader_05527_8_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0025_mix_c03361_book_01218_chp_0001_reader_05527_8_seg.wav,10.0,5.816,6.979,5.61,7.01,0.8307142857142862,-0.08749999999999991,-0.20599999999999952,0.030999999999999694,0.20599999999999952,0.030999999999999694,mix_deg_segments,token,3.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.01|>."
nisqa_temporal_00026,c09782_3_1262_2_7_001-ch6-speaker_seg23.wav,0026_mix_c09782_3_1262_2_7_001-ch6-speaker_seg23.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0026_mix_c09782_3_1262_2_7_001-ch6-speaker_seg23.wav,10.0,4.122,5.557,5.61,7.54,0.0,1.7355,1.4880000000000004,1.9829999999999997,1.4880000000000004,1.9829999999999997,mix_deg_segments,token,1.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.54|>."
nisqa_temporal_00027,c01909_book_09677_chp_0013_reader_00880_0_seg.wav,0027_mix_c01909_book_09677_chp_0013_reader_00880_0_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0027_mix_c01909_book_09677_chp_0013_reader_00880_0_seg.wav,10.0,0.637,1.734,7.01,8.99,0.0,6.8145,6.372999999999999,7.256,6.372999999999999,7.256,mix_deg_segments,token,2.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
nisqa_temporal_00028,c09877_book_08425_chp_0014_reader_01223_11_seg.wav,0028_mix_c09877_book_08425_chp_0014_reader_01223_11_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0028_mix_c09877_book_08425_chp_0014_reader_01223_11_seg.wav,6.0,0.591,1.746,0.25,1.43,0.5608288770053476,-0.3285,-0.34099999999999997,-0.31600000000000006,0.34099999999999997,0.31600000000000006,mix_deg_segments,token,1.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00029,c00134_book_10184_chp_0002_reader_05275_0_seg.wav,0029_mix_c00134_book_10184_chp_0002_reader_05275_0_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0029_mix_c00134_book_10184_chp_0002_reader_05275_0_seg.wav,8.0,5.575,7.034,0.25,1.43,0.0,-5.4645,-5.325,-5.604,5.325,5.604,mix_deg_segments,token,2.75,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00030,c06464_book_04283_chp_0054_reader_09446_7_seg.wav,0030_mix_c06464_book_04283_chp_0054_reader_09446_7_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0030_mix_c06464_book_04283_chp_0054_reader_09446_7_seg.wav,8.0,2.634,3.764,0.27,1.99,0.0,-2.069,-2.364,-1.7739999999999998,2.364,1.7739999999999998,mix_deg_segments,token,3.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00031,c08997_book_00194_chp_0089_reader_07167_0_seg.wav,0031_mix_c08997_book_00194_chp_0089_reader_07167_0_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0031_mix_c08997_book_00194_chp_0089_reader_07167_0_seg.wav,11.0,5.009,6.367,7.01,8.99,0.0,2.312,2.0009999999999994,2.623,2.0009999999999994,2.623,mix_deg_segments,token,2.8,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
nisqa_temporal_00032,c09492_book_04308_chp_0002_reader_02350_4_seg.wav,0032_mix_c09492_book_04308_chp_0002_reader_02350_4_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0032_mix_c09492_book_04308_chp_0002_reader_02350_4_seg.wav,9.0,4.564,6.293,3.76,7.01,0.532,-0.043500000000000316,-0.8040000000000003,0.7169999999999996,0.8040000000000003,0.7169999999999996,mix_deg_segments,token,1.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|3.76|>."
nisqa_temporal_00033,c09982_book_09845_chp_0003_reader_01204_2_seg.wav,0033_mix_c09982_book_09845_chp_0003_reader_01204_2_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0033_mix_c09982_book_09845_chp_0003_reader_01204_2_seg.wav,12.0,4.518,7.113,7.01,8.99,0.023032200357781897,2.1845,2.492,1.8769999999999998,2.492,1.8769999999999998,mix_deg_segments,token,1.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
nisqa_temporal_00034,c01633_4_165_2_7_001-ch6-speaker_seg69.wav,0034_mix_c01633_4_165_2_7_001-ch6-speaker_seg69.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0034_mix_c01633_4_165_2_7_001-ch6-speaker_seg69.wav,11.0,8.747,9.791,5.61,7.54,0.0,-2.694,-3.1369999999999996,-2.2510000000000003,3.1369999999999996,2.2510000000000003,mix_deg_segments,token,2.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.54|>."
nisqa_temporal_00035,c00664_book_07341_chp_0009_reader_10399_6_seg.wav,0035_mix_c00664_book_07341_chp_0009_reader_10399_6_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0035_mix_c00664_book_07341_chp_0009_reader_10399_6_seg.wav,9.0,6.948,8.579,7.01,8.99,0.7683643486777674,0.2364999999999995,0.06199999999999939,0.4109999999999996,0.06199999999999939,0.4109999999999996,mix_deg_segments,token,2.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
nisqa_temporal_00036,c09340_book_01578_chp_0014_reader_05607_12_seg.wav,0036_mix_c09340_book_01578_chp_0014_reader_05607_12_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0036_mix_c09340_book_01578_chp_0014_reader_05607_12_seg.wav,12.0,1.074,2.915,7.01,8.99,0.0,6.0055,5.936,6.075,5.936,6.075,mix_deg_segments,token,1.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
nisqa_temporal_00037,c05783_3_263_2_7_001-ch6-speaker_seg26.wav,0037_mix_c05783_3_263_2_7_001-ch6-speaker_seg26.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0037_mix_c05783_3_263_2_7_001-ch6-speaker_seg26.wav,11.0,0.9,3.178,5.61,7.54,0.0,4.536,4.71,4.362,4.71,4.362,mix_deg_segments,token,2.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.54|>."
nisqa_temporal_00038,c03551_2_434_2_7_001-ch6-speaker_seg32.wav,0038_mix_c03551_2_434_2_7_001-ch6-speaker_seg32.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0038_mix_c03551_2_434_2_7_001-ch6-speaker_seg32.wav,8.0,4.566,5.616,0.25,1.43,0.0,-4.2509999999999994,-4.316,-4.186,4.316,4.186,mix_deg_segments,token,1.8,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00039,c06582_book_06071_chp_0004_reader_02692_30_seg.wav,0039_mix_c06582_book_06071_chp_0004_reader_02692_30_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0039_mix_c06582_book_06071_chp_0004_reader_02692_30_seg.wav,12.0,2.757,7.265,7.01,8.71,0.04283554510330924,2.8490000000000006,4.253,1.4450000000000012,4.253,1.4450000000000012,mix_deg_segments,token,2.5,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.71|>."
nisqa_temporal_00040,c03354_2_619_2_7_001-ch6-speaker_seg66.wav,0040_mix_c03354_2_619_2_7_001-ch6-speaker_seg66.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0040_mix_c03354_2_619_2_7_001-ch6-speaker_seg66.wav,9.0,3.291,6.09,5.61,7.01,0.12906695348211872,1.6195000000000002,2.3190000000000004,0.9199999999999999,2.3190000000000004,0.9199999999999999,mix_deg_segments,token,1.6666666666666698,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.01|>."
nisqa_temporal_00041,c00404_book_07926_chp_0062_reader_06726_1_seg.wav,0041_mix_c00404_book_07926_chp_0062_reader_06726_1_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0041_mix_c00404_book_07926_chp_0062_reader_06726_1_seg.wav,6.0,3.543,4.643,0.25,1.43,0.0,-3.253,-3.293,-3.213,3.293,3.213,mix_deg_segments,token,2.0,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
