tap,id,gt_start,gt_end,pred_start,pred_end,tiou
encoder,nisqa_temporal_03260,0.987,2.088,0.96,1.72,0.6498226950354609
encoder,nisqa_temporal_03267,1.131,2.444,1.84,2.08,0.1827875095201828
encoder,nisqa_temporal_03273,1.475,3.173,1.52,3.36,0.876923076923077
encoder,nisqa_temporal_03314,3.441,4.143,3.56,3.7600000000000002,0.2849002849002852
encoder,nisqa_temporal_03321,1.377,3.369,1.32,2.7600000000000002,0.6749633967789165
encoder,nisqa_temporal_03469,5.039,6.425,5.04,6.32,0.9235209235209236
encoder,nisqa_temporal_03483,6.038,7.792,6.28,7.28,0.5701254275940708
encoder,nisqa_temporal_03537,0.054,0.691,0.16,0.68,0.8163265306122449
encoder,nisqa_temporal_03543,4.065,4.698,4.04,4.84,0.7912500000000002
encoder,nisqa_temporal_03564,6.002,7.179,6.8,7.16,0.30586236193712846
encoder,nisqa_temporal_03705,3.883,5.336,4.72,5.4,0.4060646011865527
encoder,nisqa_temporal_03719,1.043,1.7,0.96,1.92,0.6843750000000001
encoder,nisqa_temporal_03780,1.253,1.953,1.32,1.8800000000000001,0.7999999999999998
encoder,nisqa_temporal_03800,3.991,5.587,4.6000000000000005,5.6000000000000005,0.6134244872591665
encoder,nisqa_temporal_03820,2.547,4.637,2.52,4.12,0.743032593292395
encoder,nisqa_temporal_03827,10.041,11.483,10.08,10.32,0.1664355062413316
encoder,nisqa_temporal_03834,4.803,5.42,4.64,5.8,0.5318965517241379
encoder,nisqa_temporal_03840,0.26,0.86,0.32,0.8,0.7999999999999999
encoder,nisqa_temporal_03908,3.952,4.752,3.88,4.64,0.7889908256880732
encoder,nisqa_temporal_03915,3.662,4.695,3.68,4.24,0.5421103581800579
encoder,nisqa_temporal_04023,1.087,1.769,1.08,1.72,0.9187227866473152
encoder,nisqa_temporal_04056,1.113,1.899,1.04,1.6400000000000001,0.6135040745052388
encoder,nisqa_temporal_04097,2.385,3.387,2.32,3.04,0.6138706654170573
encoder,nisqa_temporal_04117,0.27,0.985,4.68,5.8,0.0
encoder,nisqa_temporal_04164,4.904,7.677,2.6,3.12,0.0
encoder,nisqa_temporal_04191,0.176,1.023,0.24,0.72,0.5667060212514758
encoder,nisqa_temporal_04252,3.944,5.558,3.88,5.44,0.891537544696067
encoder,nisqa_temporal_04286,0.81,1.922,0.8,2.08,0.8687499999999999
encoder,nisqa_temporal_04313,5.069,6.428,5.04,6.36,0.9301152737752165
encoder,nisqa_temporal_04320,6.925,7.765,4.48,5.48,0.0
encoder,nisqa_temporal_04340,1.204,2.088,1.28,1.72,0.49773755656108587
encoder,nisqa_temporal_04374,4.185,5.847,4.12,5.68,0.8656629994209611
encoder,nisqa_temporal_04414,3.403,4.989,3.84,4.6000000000000005,0.4791929382093321
encoder,nisqa_temporal_04461,4.493,5.467,4.5600000000000005,4.68,0.12320328542094384
encoder,nisqa_temporal_04495,2.621,3.34,2.72,3.16,0.611961057023644
encoder,nisqa_temporal_04522,4.668,5.575,4.6000000000000005,5.6000000000000005,0.907
encoder,nisqa_temporal_04549,2.56,5.278,2.52,5.32,0.9707142857142854
encoder,nisqa_temporal_04597,0.962,3.123,2.8000000000000003,3.12,0.14807959278111973
encoder,nisqa_temporal_04657,4.241,5.018,4.2,5.08,0.8829545454545458
encoder,nisqa_temporal_04664,0.355,1.679,0.44,0.88,0.3323262839879154
encoder,nisqa_temporal_04684,5.304,5.934,5.72,5.92,0.3174603174603178
encoder,nisqa_temporal_04698,4.226,5.165,4.6000000000000005,4.64,0.042598509052182265
encoder,nisqa_temporal_04738,0.045,1.228,0.16,1.28,0.8647773279352228
encoder,nisqa_temporal_04752,1.409,2.968,3.68,5.44,0.0
encoder,nisqa_temporal_04806,5.893,6.902,6.36,6.84,0.4757185332011887
encoder,nisqa_temporal_04894,3.488,4.389,3.44,4.44,0.9009999999999998
encoder,nisqa_temporal_04927,1.293,2.174,1.56,2.12,0.6356413166855847
encoder,nisqa_temporal_04968,10.006,10.658,10.52,10.56,0.06134969325153523
encoder,nisqa_temporal_04975,0.307,1.078,0.32,0.56,0.311284046692607
encoder,nisqa_temporal_05015,5.724,6.652,5.76,6.24,0.5172413793103453
encoder,nisqa_temporal_05035,4.338,5.993,4.32,6.04,0.9622093023255817
encoder,nisqa_temporal_05076,4.875,6.039,5.44,6.2,0.45207547169811263
encoder,nisqa_temporal_05083,7.911,9.389,8.0,9.44,0.9084368868541527
encoder,nisqa_temporal_05110,1.035,1.738,1.0,1.8800000000000001,0.7988636363636363
encoder,nisqa_temporal_05157,3.012,3.897,3.24,3.48,0.2711864406779659
encoder,nisqa_temporal_05211,6.386,7.075,6.36,7.12,0.9065789473684214
encoder,nisqa_temporal_05218,5.205,5.878,4.32,4.5200000000000005,0.0
encoder,nisqa_temporal_05251,3.054,3.826,4.64,4.76,0.0
encoder,nisqa_temporal_05278,4.467,5.823,4.48,5.84,0.9781500364166058
encoder,nisqa_temporal_05312,3.719,4.717,0.4,0.6,0.0
encoder,nisqa_temporal_05339,9.709,10.533,3.92,4.76,0.0
encoder,nisqa_temporal_05353,5.302,6.337,5.24,6.44,0.8625
encoder,nisqa_temporal_05366,3.045,3.83,5.72,5.92,0.0
encoder,nisqa_temporal_05400,0.206,1.823,0.2,1.84,0.9859756097560974
encoder,nisqa_temporal_05407,0.389,1.283,0.4,1.48,0.8093492208982582
encoder,nisqa_temporal_05420,1.36,2.136,0.72,2.2,0.5243243243243243
encoder,nisqa_temporal_05427,0.57,1.767,0.52,1.8,0.9351562499999999
encoder,nisqa_temporal_05461,4.334,4.958,4.32,5.04,0.8666666666666677
encoder,nisqa_temporal_05515,7.354,8.542,3.3200000000000003,3.56,0.0
encoder,nisqa_temporal_05521,6.189,7.419,6.16,7.48,0.9318181818181812
encoder,nisqa_temporal_05528,1.026,1.882,1.04,1.84,0.9345794392523367
encoder,nisqa_temporal_05542,1.399,3.788,1.52,1.56,0.016743407283382184
encoder,nisqa_temporal_05548,6.034,6.78,6.5600000000000005,6.8,0.2872062663185375
encoder,nisqa_temporal_05616,6.107,6.924,6.0,6.48,0.40367965367965375
encoder,nisqa_temporal_05643,6.255,7.608,6.24,7.68,0.9395833333333334
encoder,nisqa_temporal_05650,2.39,3.366,2.32,3.16,0.7361376673040151
encoder,nisqa_temporal_05663,6.735,7.67,7.24,7.32,0.08556149732620331
encoder,nisqa_temporal_05704,2.247,3.749,2.7600000000000002,3.64,0.5858854860186417
encoder,nisqa_temporal_05731,2.423,3.708,2.7600000000000002,3.7600000000000002,0.7090501121914733
encoder,nisqa_temporal_05764,2.121,4.076,3.56,3.88,0.16368286445012784
encoder,nisqa_temporal_05778,1.79,2.395,1.92,2.2,0.4628099173553723
encoder,nisqa_temporal_05798,0.001,0.841,0.12,0.88,0.8202502844141069
encoder,nisqa_temporal_05980,9.802,10.89,10.0,10.88,0.8088235294117647
encoder,nisqa_temporal_05987,1.227,1.845,1.2,2.0,0.7724999999999999
encoder,nisqa_temporal_06007,0.163,1.082,0.2,0.36,0.17410228509249182
encoder,nisqa_temporal_06028,5.619,7.051,1.28,1.6,0.0
encoder,nisqa_temporal_06061,0.199,0.857,0.16,0.8,0.8622668579626972
encoder,nisqa_temporal_06142,1.458,2.315,1.52,2.04,0.6067677946324388
encoder,nisqa_temporal_06149,1.244,1.865,1.24,1.84,0.9536000000000001
encoder,nisqa_temporal_06169,4.177,4.784,4.12,4.84,0.8430555555555561
encoder,nisqa_temporal_06190,0.151,1.07,0.2,1.04,0.9140369967355823
encoder,nisqa_temporal_06196,7.187,9.687,7.92,9.6,0.6720000000000002
encoder,nisqa_temporal_06291,0.581,1.998,1.16,1.6400000000000001,0.3387438249823572
encoder,nisqa_temporal_06304,6.552,8.207,6.5600000000000005,8.32,0.9315610859728505
encoder,nisqa_temporal_06311,1.845,2.538,1.8800000000000001,2.68,0.7880239520958079
encoder,nisqa_temporal_06325,2.01,2.782,4.48,4.76,0.0
encoder,nisqa_temporal_06331,6.475,7.544,6.8,7.6000000000000005,0.6613333333333327
encoder,nisqa_temporal_06412,8.216,8.925,1.48,2.04,0.0
encoder,nisqa_temporal_06453,4.318,4.927,3.0,3.84,0.0
encoder,nisqa_temporal_06500,2.325,3.054,2.16,3.08,0.7923913043478258
encoder,nisqa_temporal_06527,0.933,1.929,0.96,2.04,0.875338753387534
encoder,nisqa_temporal_06554,5.943,6.803,6.12,6.76,0.7441860465116272
encoder,nisqa_temporal_06561,6.516,7.15,6.44,7.2,0.8342105263157902
encoder,nisqa_temporal_06568,5.202,6.952,5.6000000000000005,6.84,0.7085714285714282
encoder,nisqa_temporal_06588,1.809,2.465,1.8,2.48,0.9647058823529412
encoder,nisqa_temporal_06595,3.307,4.073,3.6,3.88,0.365535248041775
encoder,nisqa_temporal_06601,2.595,3.33,2.6,3.68,0.6728110599078341
encoder,nisqa_temporal_06608,5.028,6.184,3.8000000000000003,4.0,0.0
encoder,nisqa_temporal_06622,0.544,1.148,0.6,1.04,0.7284768211920531
encoder,nisqa_temporal_06628,2.665,4.231,2.8000000000000003,3.2,0.25542784163473814
encoder,nisqa_temporal_06635,9.091,9.724,9.120000000000001,9.72,0.9478672985781972
encoder,nisqa_temporal_06662,0.589,1.888,1.04,1.24,0.1539645881447267
encoder,nisqa_temporal_06696,4.522,5.68,4.48,5.68,0.9650000000000001
encoder,nisqa_temporal_06811,9.047,9.652,7.44,7.640000000000001,0.0
encoder,nisqa_temporal_06844,8.032,10.53,8.120000000000001,9.200000000000001,0.4323458767013612
encoder,nisqa_temporal_06885,3.998,4.883,4.12,4.5200000000000005,0.451977401129944
encoder,nisqa_temporal_06892,1.861,4.273,1.8,4.4,0.9276923076923075
encoder,nisqa_temporal_06905,1.135,2.872,1.16,1.96,0.4605641911341394
encoder,nisqa_temporal_06966,3.216,4.005,3.08,4.04,0.8218749999999997
encoder,nisqa_temporal_06993,3.3,4.91,4.44,4.84,0.2484472049689437
encoder,nisqa_temporal_07000,3.352,4.181,3.36,4.04,0.8202653799758746
encoder,nisqa_temporal_07101,5.265,5.866,5.12,5.84,0.7707774798927621
encoder,nisqa_temporal_07135,2.691,3.328,1.96,2.12,0.0
encoder,nisqa_temporal_07148,3.333,5.333,3.3200000000000003,3.88,0.2717337307501241
encoder,nisqa_temporal_07243,4.954,5.639,4.96,5.36,0.5839416058394161
encoder,nisqa_temporal_07249,1.265,1.899,1.28,1.4000000000000001,0.18927444794952694
encoder,nisqa_temporal_07256,7.729,8.996,7.72,9.040000000000001,0.9598484848484843
encoder,nisqa_temporal_07317,2.206,2.829,2.08,2.84,0.8197368421052637
encoder,nisqa_temporal_07351,8.082,9.403,0.8,1.08,0.0
encoder,nisqa_temporal_07371,7.792,8.46,7.88,8.4,0.7784431137724546
encoder,nisqa_temporal_07465,2.151,2.778,2.48,2.84,0.43251088534107407
encoder,nisqa_temporal_07513,4.474,5.138,4.44,5.16,0.9222222222222222
encoder,nisqa_temporal_07560,0.813,1.506,0.92,1.52,0.8288543140028286
encoder,nisqa_temporal_07587,1.601,2.236,1.44,2.7600000000000002,0.48106060606060613
encoder,nisqa_temporal_07634,1.596,2.348,1.56,1.72,0.15736040609137045
encoder,nisqa_temporal_07654,3.576,4.243,3.04,4.2,0.5187032418952618
encoder,nisqa_temporal_07675,9.323,10.301,9.28,10.36,0.9055555555555552
encoder,nisqa_temporal_07681,2.521,3.183,1.4000000000000001,2.32,0.0
encoder,nisqa_temporal_07729,4.302,6.188,1.6400000000000001,2.52,0.0
encoder,nisqa_temporal_07776,3.488,4.868,3.52,4.88,0.9683908045977014
encoder,nisqa_temporal_07796,2.074,3.336,2.04,3.08,0.7762345679012349
encoder,nisqa_temporal_07830,7.535,10.164,7.5600000000000005,8.44,0.334728033472803
encoder,nisqa_temporal_07870,5.745,6.886,5.6000000000000005,7.04,0.7923611111111114
encoder,nisqa_temporal_07877,3.17,4.309,3.16,4.5200000000000005,0.8375
encoder,nisqa_temporal_07891,0.849,1.821,0.84,1.6,0.7655453618756372
encoder,nisqa_temporal_07945,6.819,7.96,6.88,7.8,0.8063102541630148
encoder,nisqa_temporal_07965,5.359,6.099,1.72,1.92,0.0
encoder,nisqa_temporal_07985,7.432,8.435,7.48,8.0,0.5184446660019936
encoder,nisqa_temporal_07999,4.208,4.82,4.4,4.8,0.6535947712418291
encoder,nisqa_temporal_08039,0.732,1.577,1.04,1.6,0.6186635944700459
encoder,nisqa_temporal_08053,7.222,8.557,7.08,8.52,0.8788083953960724
encoder,nisqa_temporal_08066,3.619,5.035,3.56,5.08,0.931578947368421
encoder,nisqa_temporal_08107,2.936,3.657,3.04,3.44,0.5547850208044381
encoder,nisqa_temporal_08161,2.861,3.681,2.8000000000000003,3.68,0.9296254256526676
encoder,nisqa_temporal_08174,6.612,7.567,6.6000000000000005,7.640000000000001,0.9182692307692308
encoder,nisqa_temporal_08262,4.198,4.888,4.24,4.44,0.28985507246376857
encoder,nisqa_temporal_08356,4.265,6.515,6.08,6.44,0.16000000000000014
encoder,nisqa_temporal_08397,4.319,4.941,4.28,4.88,0.8487140695915284
encoder,nisqa_temporal_08404,8.525,9.752,0.32,0.52,0.0
encoder,nisqa_temporal_08444,1.52,2.276,1.6400000000000001,2.32,0.7949999999999998
encoder,nisqa_temporal_08478,2.51,3.188,2.52,2.7600000000000002,0.35398230088495586
encoder,nisqa_temporal_08491,0.015,0.856,0.36,0.56,0.23781212841854946
encoder,nisqa_temporal_08539,3.236,3.843,3.6,3.84,0.39538714991762747
encoder,nisqa_temporal_08559,0.092,0.883,0.16,0.96,0.8329493087557603
encoder,nisqa_temporal_08566,2.019,2.668,1.96,2.52,0.7076271186440675
encoder,nisqa_temporal_08606,8.483,10.012,8.84,9.120000000000001,0.18312622629169467
encoder,nisqa_temporal_08633,8.547,9.44,4.96,5.2,0.0
encoder,nisqa_temporal_08674,5.218,6.004,5.2,5.72,0.6243781094527365
encoder,nisqa_temporal_08680,0.99,1.59,0.32,0.92,0.0
encoder,nisqa_temporal_08748,6.195,7.575,6.76,6.96,0.1449275362318842
encoder,nisqa_temporal_08761,1.95,2.579,2.0,2.2,0.31796502384737696
encoder,nisqa_temporal_08768,7.431,8.205,7.48,8.08,0.7751937984496119
encoder,nisqa_temporal_08829,6.887,7.894,6.84,7.96,0.8991071428571433
encoder,nisqa_temporal_08876,2.096,3.596,2.08,3.56,0.9656992084432717
encoder,nisqa_temporal_08883,0.989,1.706,0.96,1.8,0.8535714285714285
encoder,nisqa_temporal_08964,6.776,8.386,7.5600000000000005,8.44,0.4963942307692301
encoder,nisqa_temporal_08984,5.778,6.69,5.8,6.5600000000000005,0.8333333333333334
encoder,nisqa_temporal_08991,0.822,2.322,0.88,1.48,0.39999999999999997
encoder,nisqa_temporal_09005,0.092,1.439,0.16,1.52,0.8956582633053224
encoder,nisqa_temporal_09025,1.119,1.738,1.36,1.68,0.5169628432956379
encoder,nisqa_temporal_09045,1.14,2.128,1.04,2.2,0.8517241379310344
encoder,nisqa_temporal_09079,1.414,2.377,1.48,2.4,0.9097363083164298
encoder,nisqa_temporal_09119,5.965,7.222,5.92,7.24,0.9522727272727275
encoder,nisqa_temporal_09146,2.458,4.458,2.7600000000000002,4.44,0.8400000000000001
encoder,nisqa_temporal_09173,7.91,8.988,8.16,8.2,0.03710575139146491
encoder,nisqa_temporal_09187,0.986,1.707,1.4000000000000001,1.6,0.2773925104022191
encoder,nisqa_temporal_09194,3.896,5.281,3.88,5.16,0.9022127052105642
encoder,nisqa_temporal_09214,7.438,8.684,7.36,9.0,0.7597560975609755
encoder,nisqa_temporal_09268,0.096,1.512,0.12,1.48,0.9604519774011299
encoder,nisqa_temporal_09315,0.825,2.325,0.76,2.32,0.9552715654952075
encoder,nisqa_temporal_09335,1.398,2.037,1.36,2.12,0.8407894736842105
encoder,nisqa_temporal_09356,5.171,6.921,5.12,6.16,0.549139367018323
encoder,nisqa_temporal_09423,0.003,1.503,0.12,1.2,0.7200000000000001
encoder,nisqa_temporal_09430,0.03,0.81,0.32,0.52,0.25641025641025644
encoder,nisqa_temporal_09450,2.494,5.494,2.56,5.2,0.8800000000000002
encoder,nisqa_temporal_09470,3.695,6.195,3.72,4.32,0.24
encoder,nisqa_temporal_09504,1.652,2.668,1.84,2.64,0.7874015748031494
encoder,nisqa_temporal_09524,8.366,8.981,1.68,2.12,0.0
encoder,nisqa_temporal_09531,8.587,10.321,10.200000000000001,10.28,0.046136101499422315
encoder,nisqa_temporal_09538,2.636,3.461,2.52,3.56,0.7932692307692305
encoder,nisqa_temporal_09626,2.061,4.311,2.2,2.36,0.07111111111111097
encoder,nisqa_temporal_09639,3.204,3.839,3.48,3.68,0.3149606299212602
encoder,nisqa_temporal_09653,3.779,5.279,4.08,4.32,0.16000000000000014
encoder,nisqa_temporal_09659,0.171,0.78,1.48,1.68,0.0
encoder,nisqa_temporal_09815,3.63,5.039,3.48,5.2,0.8191860465116277
encoder,nisqa_temporal_09842,0.031,0.737,0.2,0.6,0.56657223796034
encoder,nisqa_temporal_09848,7.428,8.645,8.48,8.68,0.13178913738019105
encoder,nisqa_temporal_09862,6.191,6.824,6.16,6.92,0.8328947368421055
encoder,nisqa_temporal_09875,4.094,4.71,4.12,4.76,0.8858858858858863
encoder,nisqa_temporal_09896,5.981,7.981,6.6000000000000005,6.92,0.1599999999999997
encoder,nisqa_temporal_09956,6.16,6.775,6.2,6.640000000000001,0.715447154471545
encoder,nisqa_temporal_09983,5.366,5.971,5.36,5.88,0.841243862520459
encoder,nisqa_temporal_10017,4.818,6.646,5.48,5.68,0.10940919037199084
encoder,nisqa_temporal_10037,2.221,4.221,3.3200000000000003,4.16,0.41999999999999993
encoder,nisqa_temporal_10044,7.432,8.456,8.040000000000001,8.36,0.31249999999999883
encoder,nisqa_temporal_10051,4.527,6.277,5.48,5.96,0.274285714285714
encoder,nisqa_temporal_10139,8.281,8.974,5.5600000000000005,5.64,0.0
encoder,nisqa_temporal_10240,2.705,3.322,4.76,5.12,0.0
encoder,nisqa_temporal_10274,6.807,7.911,6.8,8.040000000000001,0.8903225806451599
encoder,nisqa_temporal_10287,2.525,5.275,5.04,5.08,0.014545454545454556
encoder,nisqa_temporal_10314,2.15,4.9,2.12,3.6,0.5215827338129496
encoder,nisqa_temporal_10341,1.968,4.468,4.08,4.12,0.016000000000000014
encoder,nisqa_temporal_10456,0.043,2.543,0.12,1.16,0.41600000000000004
encoder,nisqa_temporal_10476,1.144,2.181,1.16,2.2,0.9668560606060604
encoder,nisqa_temporal_10564,1.86,2.484,3.0,3.2,0.0
encoder,nisqa_temporal_10658,2.655,5.155,4.84,5.12,0.11200000000000009
encoder,nisqa_temporal_10679,6.911,7.532,6.92,7.28,0.5797101449275364
encoder,nisqa_temporal_10699,7.652,8.409,4.5600000000000005,4.72,0.0
encoder,nisqa_temporal_10739,2.3,2.914,2.2800000000000002,3.12,0.7309523809523815
encoder,nisqa_temporal_10773,3.673,4.363,3.6,4.8,0.5750000000000004
encoder,nisqa_temporal_10820,9.939,10.609,10.0,10.6,0.8955223880597011
encoder,nisqa_temporal_10915,5.483,6.243,5.8,6.2,0.5263157894736842
encoder,nisqa_temporal_10942,2.874,4.874,2.88,4.96,0.9558964525407476
encoder,nisqa_temporal_10949,0.239,0.855,0.2,0.92,0.8555555555555557
encoder,nisqa_temporal_10982,4.488,5.988,4.4,5.2,0.4483627204030225
